[11-Jul-2019 14:35:25 Asia/Shanghai] PHP Notice:  Array to string conversion in I:\0web\sunlight\php\dosql\mysql.php on line 288
[12-Jul-2019 15:16:49 Asia/Shanghai] PHP Notice:  Array to string conversion in I:\0web\sunlight\php\dosql\mysql.php on line 288
[17-Jul-2019 01:59:33 Asia/Shanghai] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 227
[17-Jul-2019 02:03:03 Asia/Shanghai] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 227
[17-Jul-2019 02:03:38 Asia/Shanghai] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 227
[17-Jul-2019 02:05:26 Asia/Shanghai] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 227
[17-Jul-2019 10:52:03 Asia/Shanghai] PHP Warning:  implode(): Invalid arguments passed in I:\0web\sunlight\php\dosql\mysql.php on line 267
[17-Jul-2019 10:55:05 Asia/Shanghai] PHP Warning:  implode(): Invalid arguments passed in I:\0web\sunlight\php\dosql\mysql.php on line 267
[17-Jul-2019 11:00:36 Asia/Shanghai] PHP Warning:  implode(): Invalid arguments passed in I:\0web\sunlight\php\dosql\mysql.php on line 267
[17-Jul-2019 11:01:38 Asia/Shanghai] PHP Warning:  implode(): Invalid arguments passed in I:\0web\sunlight\php\dosql\mysql.php on line 268
[17-Jul-2019 11:02:13 Asia/Shanghai] PHP Warning:  implode(): Invalid arguments passed in I:\0web\sunlight\php\dosql\mysql.php on line 268
[18-Jul-2019 01:33:08 Asia/Shanghai] PHP Notice:  Array to string conversion in I:\0web\sunlight\php\dosql\mysql.php on line 290
[18-Jul-2019 12:37:35 Asia/Shanghai] PHP Notice:  Array to string conversion in I:\0web\sunlight\php\dosql\mysql.php on line 290
[18-Jul-2019 13:20:24 Asia/Shanghai] PHP Notice:  Array to string conversion in I:\0web\sunlight\php\dosql\mysql.php on line 290
[18-Jul-2019 13:56:14 Asia/Shanghai] PHP Notice:  Array to string conversion in I:\0web\sunlight\php\dosql\mysql.php on line 290
[18-Jul-2019 16:32:54 Asia/Shanghai] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 140
[18-Jul-2019 16:32:54 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 145
[18-Jul-2019 16:32:55 Asia/Shanghai] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 140
[18-Jul-2019 16:32:55 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 145
[18-Jul-2019 16:32:56 Asia/Shanghai] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 140
[18-Jul-2019 16:32:56 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 145
[18-Jul-2019 16:32:56 Asia/Shanghai] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 140
[18-Jul-2019 16:32:56 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 145
[18-Jul-2019 16:32:56 Asia/Shanghai] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 140
[18-Jul-2019 16:32:56 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 145
[18-Jul-2019 16:32:57 Asia/Shanghai] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 140
[18-Jul-2019 16:32:57 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 145
[18-Jul-2019 16:33:57 Asia/Shanghai] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 140
[18-Jul-2019 16:33:57 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 145
[18-Jul-2019 16:33:58 Asia/Shanghai] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 140
[18-Jul-2019 16:33:58 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 145
[18-Jul-2019 16:33:58 Asia/Shanghai] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 140
[18-Jul-2019 16:33:58 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 145
[18-Jul-2019 16:33:58 Asia/Shanghai] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 140
[18-Jul-2019 16:33:58 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 145
[18-Jul-2019 16:33:59 Asia/Shanghai] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 140
[18-Jul-2019 16:33:59 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 145
[18-Jul-2019 16:33:59 Asia/Shanghai] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 140
[18-Jul-2019 16:33:59 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 145
[18-Jul-2019 16:38:21 Asia/Shanghai] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 141
[18-Jul-2019 16:38:21 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 146
[18-Jul-2019 16:38:22 Asia/Shanghai] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 141
